data,torneio,id_partida,jogador_1,jogador_2,score_1,score_2,sets,sgw_jogador1,sgw_jogador2
2025-05-28 ,,638262,Serghei Mirciu,Leonid Calev,1,3,"8-11, 11-9, 11-13, 7-11",72.69,73.85
2025-05-28 ,,638263,Vitalie Plescaci,Iuri Iurcenco,1,3,"9-11, 11-7, 9-11, 3-11",72.69,73.85
2025-05-28 ,,638264,Serghei Mirciu,Iuri Iurcenco,2,3,"12-10, 5-11, 10-12, 11-9, 8-11",72.57,73.14
2025-05-28 ,,638265,Vitalie Plescaci,Leonid Calev,1,3,"11-7, 6-11, 7-11, 10-12",72.69,73.85
2025-05-28 ,,638266,Serghei Mirciu,Vitalie Plescaci,3,0,"13-11, 11-8, 11-9",74.56,72.82
2025-05-28 ,,638267,Iuri Iurcenco,Leonid Calev,0,3,"5-11, 6-11, 4-11",72.82,74.56
2025-05-28 ,,638365,Oleksandr Lyman,Oleh Kurylenko,0,3,"9-11, 8-11, 9-11",72.82,74.56
2025-05-28 ,,638366,Serhii Miroshnychenko,Viktor Ziakun,3,0,"11-7, 11-5, 11-8",74.56,72.82
2025-05-28 ,,638367,Roman Boklah,Serhii Priadko,0,3,"10-12, 6-11, 4-11",72.82,74.56
2025-05-28 ,,638368,Oleksandr Lyman,Viktor Ziakun,2,3,"6-11, 11-9, 6-11, 11-9, 7-11",72.57,73.14
2025-05-28 ,,638369,Serhii Priadko,Oleh Kurylenko,2,3,"8-11, 11-4, 5-11, 11-9, 10-12",72.57,73.14
2025-05-28 ,,638370,Serhii Miroshnychenko,Roman Boklah,3,2,"9-11, 8-11, 12-10, 11-8, 11-2",73.14,72.57
2025-05-28 ,,638371,Oleksandr Lyman,Serhii Priadko,3,0,"11-7, 11-5, 12-10",74.56,72.82
2025-05-28 ,,638372,Roman Boklah,Viktor Ziakun,0,3,"9-11, 6-11, 4-11",72.82,74.56
2025-05-28 ,,638373,Serhii Miroshnychenko,Oleh Kurylenko,3,2,"11-8, 11-5, 7-11, 10-12, 11-2",73.14,72.57
2025-05-28 ,,638374,Oleksandr Lyman,Roman Boklah,3,0,"12-10, 11-9, 11-5",74.56,72.82
2025-05-28 ,,638375,Serhii Miroshnychenko,Serhii Priadko,3,0,"11-4, 11-6, 11-6",74.56,72.82
2025-05-28 ,,638376,Viktor Ziakun,Oleh Kurylenko,2,3,"11-7, 8-11, 6-11, 11-7, 9-11",72.57,73.14
2025-05-28 ,,638377,Oleksandr Lyman,Serhii Miroshnychenko,3,1,"12-10, 6-11, 12-10, 11-6",73.85,72.69
2025-05-28 ,,638378,Roman Boklah,Oleh Kurylenko,1,3,"7-11, 12-14, 11-5, 7-11",72.69,73.85
